Applications running under the ‘Generic’ module
Application	Windows	Linux	Notes
Abiotic Factor	:white_check_mark:	:white_check_mark:	Linux Support via Wine.
Alien Swarm: Reactive Drop	:white_check_mark:	:white_check_mark:	Linux Support via Wine.
American Truck Simulator	:white_check_mark:	:white_check_mark:	
ARK: Survival Ascended	:white_check_mark:	:white_check_mark:	Linux support via Proton.
ARK: Survival Evolved	:white_check_mark:	:white_check_mark:	
Arma 3	:white_check_mark:	:white_check_mark:	Support for both 32 bit and 64 bit versions.
Arma Reforger	:white_check_mark:	:white_check_mark:	
ASKA	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Assetto Corsa	:white_check_mark:	:white_check_mark:	Linux support via Wine. Includes support for AssettoServer.
Assetto Corsa Competizione	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Astro Colony	:white_check_mark:	:white_check_mark:	
Astroneer	:white_check_mark:	:white_check_mark:	
Avorion	:white_check_mark:	:white_check_mark:	
Barotrauma	:white_check_mark:	:white_check_mark:	Linux support via Wine.
BeamMP (BeamNG.drive)	:white_check_mark:	:white_check_mark:	
Beasts of Bermuda	:white_check_mark:	:white_check_mark:	
Black Mesa	:white_check_mark:	:white_check_mark:	
Blackwake	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Broke Protocol	:white_check_mark:	:white_check_mark:	
Call Of Duty: Modern Warfare 2 (2009)	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Call Of Duty: Modern Warfare 3 (2011)	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Call Of Duty 4: Modern Warfare	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Carrier Command 2	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Chivalry: Medieval Warfare	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Conan Exiles	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Core Keeper	:white_check_mark:	:white_check_mark:	
Craftopia	:white_check_mark:	:white_check_mark:	
Creativerse	:white_check_mark:	:white_check_mark:	
Colony Survival	:white_check_mark:	:white_check_mark:	
Counter-Strike 1.6	:white_check_mark:	:white_check_mark:	Includes Metamod and ReHLDS support.
Counter-Strike 2	:white_check_mark:	:white_check_mark:	
Counter-Strike: Condition Zero	:white_check_mark:	:white_check_mark:	Includes Metamod and ReHLDS support.
Counter-Strike: Global Offensive	:white_check_mark:	:white_check_mark:	Includes Metamod and SourceMod to allow client connections.
Counter-Strike: Source	:white_check_mark:	:white_check_mark:	
CryoFall	:x:	:white_check_mark:	
Day of Defeat: Source	:white_check_mark:	:white_check_mark:	Includes Metamod and SourceMod support.
Day Of Dragons	:white_check_mark:	:white_check_mark:	
DayZ (Experimental)	:white_check_mark:	:white_check_mark:	
DayZ (Stable)	:white_check_mark:	:white_check_mark:	
Dead Matter	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Don’t Starve Together	:white_check_mark:	:white_check_mark:	
Dota 2	:white_check_mark:	:white_check_mark:	
Dotnet App Runner	:white_check_mark:	:white_check_mark:	
Eco	:white_check_mark:	:white_check_mark:	
Empyrion Galactic Survival	:white_check_mark:	:white_check_mark:	
Enshrouded	:white_check_mark:	:white_check_mark:	Linux support via Proton. Not supported on Windows Server 2016.
European Truck Simulator 2	:white_check_mark:	:white_check_mark:	
EXFIL	:white_check_mark:	:white_check_mark:	
E.Y.E: Divine Cybermancy	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Factorio	:white_check_mark:	:white_check_mark:	
FOUNDRY	:white_check_mark:	:white_check_mark:	Linux support via Wine. May not run on Windows Server 2016/2019.
Foundry Virtual Tabletop	:white_check_mark:	:white_check_mark:	
Frozen Flame	:white_check_mark:	:white_check_mark:	
Garry’s Mod	:white_check_mark:	:white_check_mark:	32 bit and 64 bit versions.
GatekeeperV2 Bot	:white_check_mark:	:white_check_mark:	
Geyser (Minecraft Proxy)	:white_check_mark:	:white_check_mark:	
Ground Branch	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Half-Life	:white_check_mark:	:white_check_mark:	Includes Metamod and ReHLDS support.
Half-Life: Opposing Force	:white_check_mark:	:white_check_mark:	Includes Metamod and ReHLDS support.
HumanitZ	:white_check_mark:	:white_check_mark:	
Hurtworld	:white_check_mark:	:white_check_mark:	
Icarus	:white_check_mark:	:white_check_mark:	Linux support via Proton.
Impostor (Among Us)	:white_check_mark:	:white_check_mark:	
Insurgency Sandstorm	:white_check_mark:	:white_check_mark:	
Java App Runner	:white_check_mark:	:white_check_mark:	
Just Cause 3	:white_check_mark:	:white_check_mark:	
Kaboom!	:white_check_mark:	:white_check_mark:	AMP Exclusive. Windows support via Docker.
Killing Floor 2	:white_check_mark:	:white_check_mark:	
Last Oasis	:white_check_mark:	:white_check_mark:	Additional account required via https://myrealm.lastoasis.gg/.
Left 4 Dead	:white_check_mark:	:white_check_mark:	Includes Metamod and SourceMod support.
Left 4 Dead 2	:white_check_mark:	:white_check_mark:	Includes Metamod and SourceMod support.
Longvinter	:white_check_mark:	:white_check_mark:	
Mindustry	:white_check_mark:	:white_check_mark:	
Minecraft Bedrock	:white_check_mark:	:white_check_mark:	
Minetest	:white_check_mark:	:white_check_mark:	
Mordhau	:white_check_mark:	:white_check_mark:	
Mount & Blade II: Bannerlord	:white_check_mark:	:white_check_mark:	
Multi Theft Auto: San Andreas	:white_check_mark:	:white_check_mark:	
MX Bikes	:white_check_mark:	:white_check_mark:	Linux support via Wine.
